misra1,misra2,Poetry
فرازؔ تیرے جنوں کا خیال ہے ورنہ ,یہ کیا ضرور وہ صورت سبھی کو پیاری لگے ,فرازؔ تیرے جنوں کا خیال ہے ورنہ  یہ کیا ضرور وہ صورت سبھی کو پیاری لگے 
حدیں وفا کی بھی آخر ہوس سے ملتی ہیں ,یہ راستہ بھی ادھر سے ادھر کو جاتا ہے ,حدیں وفا کی بھی آخر ہوس سے ملتی ہیں  یہ راستہ بھی ادھر سے ادھر کو جاتا ہے 
یہ دل کا درد تو عمروں کا روگ ہے پیارے ,سو جائے بھی تو پہر دو پہر کو جاتا ہے ,یہ دل کا درد تو عمروں کا روگ ہے پیارے  سو جائے بھی تو پہر دو پہر کو جاتا ہے 
یہ حال ہے کہ کئی راستے ہیں پیش نظر ,مگر خیال تری رہگزر کو جاتا ہے ,یہ حال ہے کہ کئی راستے ہیں پیش نظر  مگر خیال تری رہگزر کو جاتا ہے 
تو انوریؔ ہے نہ غالبؔ تو پھر یہ کیوں ہے فرازؔ ,ہر ایک سیل بلا تیرے گھر کو جاتا ہے ,تو انوریؔ ہے نہ غالبؔ تو پھر یہ کیوں ہے فرازؔ  ہر ایک سیل بلا تیرے گھر کو جاتا ہے 
پکارتے رہے محفوظ کشتیوں والے ,میں ڈوبتا ہوا دریا کے پار اتر بھی گیا ,پکارتے رہے محفوظ کشتیوں والے  میں ڈوبتا ہوا دریا کے پار اتر بھی گیا 
اب احتیاط کی دیوار کیا اٹھاتے ہو ,جو چور دل میں چھپا تھا وہ کام کر بھی گیا ,اب احتیاط کی دیوار کیا اٹھاتے ہو  جو چور دل میں چھپا تھا وہ کام کر بھی گیا 
میں چپ رہا کہ اسی میں تھی عافیت جاں کی ,کوئی تو میری طرح تھا جو دار پر بھی گیا ,میں چپ رہا کہ اسی میں تھی عافیت جاں کی  کوئی تو میری طرح تھا جو دار پر بھی گیا 
سلگتے سوچتے ویران موسموں کی طرح ,کڑا تھا عہد جوانی مگر گزر بھی گیا ,سلگتے سوچتے ویران موسموں کی طرح  کڑا تھا عہد جوانی مگر گزر بھی گیا 
جسے بھلا نہ سکا اس کو یاد کیا رکھتا ,جو نام لب پہ رہا ذہن سے اتر بھی گیا ,جسے بھلا نہ سکا اس کو یاد کیا رکھتا  جو نام لب پہ رہا ذہن سے اتر بھی گیا 
پھٹی پھٹی ہوئی آنکھوں سے یوں نہ دیکھ مجھے ,تجھے تلاش ہے جس شخص کی وہ مر بھی گیا ,پھٹی پھٹی ہوئی آنکھوں سے یوں نہ دیکھ مجھے  تجھے تلاش ہے جس شخص کی وہ مر بھی گیا 
مگر فلک کو عداوت اسی کے گھر سے تھی ,جہاں فرازؔ نہ تھا سیل غم ادھر بھی گیا ,مگر فلک کو عداوت اسی کے گھر سے تھی  جہاں فرازؔ نہ تھا سیل غم ادھر بھی گیا 
گر غم سود و زیاں ہے تو ٹھہر جا اے جاں ,کہ اسی موڑ پہ یاروں سے ہوئے یار جدا ,گر غم سود و زیاں ہے تو ٹھہر جا اے جاں  کہ اسی موڑ پہ یاروں سے ہوئے یار جدا 
دو گھڑی اس سے رہو دور تو یوں لگتا ہے ,جس طرح سایۂ دیوار سے دیوار جدا ,دو گھڑی اس سے رہو دور تو یوں لگتا ہے  جس طرح سایۂ دیوار سے دیوار جدا 
یہ جدائی کی گھڑی ہے کہ جھڑی ساون کی ,میں جدا گریہ کناں ابر جدا یار جدا ,یہ جدائی کی گھڑی ہے کہ جھڑی ساون کی  میں جدا گریہ کناں ابر جدا یار جدا 
کج کلاہوں سے کہے کون کہ اے بے خبروں ,طوق گردن سے نہیں طرۂ دستار جدا ,کج کلاہوں سے کہے کون کہ اے بے خبروں  طوق گردن سے نہیں طرۂ دستار جدا 
کوئے جاناں میں بھی خاصا تھا طرح دار فرازؔ ,لیکن اس شخص کی سج دھج تھی سر دار جدا ,کوئے جاناں میں بھی خاصا تھا طرح دار فرازؔ  لیکن اس شخص کی سج دھج تھی سر دار جدا 
زندگی میں بھی غزل ہی کا قرینہ رکھا ,خواب در خواب ترے غم کو پرویا کیسا ,زندگی میں بھی غزل ہی کا قرینہ رکھا  خواب در خواب ترے غم کو پرویا کیسا 
اب تو چہروں پہ بھی کتبوں کا گماں ہوتا ہے ,آنکھیں پتھرائی ہوئی ہیں لب گویا کیسا ,اب تو چہروں پہ بھی کتبوں کا گماں ہوتا ہے  آنکھیں پتھرائی ہوئی ہیں لب گویا کیسا 
دیکھ اب قرب کا موسم بھی نہ سرسبز لگے ,ہجر ہی ہجر مراسم میں سمویا کیسا ,دیکھ اب قرب کا موسم بھی نہ سرسبز لگے  ہجر ہی ہجر مراسم میں سمویا کیسا 
ایک آنسو تھا کہ دریائے ندامت تھا فرازؔ ,دل سے بے باک شناور کو ڈبویا کیسا ,ایک آنسو تھا کہ دریائے ندامت تھا فرازؔ  دل سے بے باک شناور کو ڈبویا کیسا 
ابتدا کی تیرے قصیدے سے ,اب یہ مشکل کروں کہاں سے گریز ,ابتدا کی تیرے قصیدے سے  اب یہ مشکل کروں کہاں سے گریز 
میں وہاں ہوں جہاں جہاں تم ہو ,تم کرو گے کہاں کہاں سے گریز ,میں وہاں ہوں جہاں جہاں تم ہو  تم کرو گے کہاں کہاں سے گریز 
کر گیا میرے تیرے قصے میں ,داستاں گو یہاں وہاں سے گریز ,کر گیا میرے تیرے قصے میں  داستاں گو یہاں وہاں سے گریز 
جنگ ہاری نہ تھی ابھی کہ فرازؔ ,کر گئے دوست درمیاں سے گریز ,جنگ ہاری نہ تھی ابھی کہ فرازؔ  کر گئے دوست درمیاں سے گریز 
نصیب پھر کوئی تقریب قرب ہو کہ نہ ہو ,جو دل میں ہوں وہی باتیں کہا کرو اس سے ,نصیب پھر کوئی تقریب قرب ہو کہ نہ ہو  جو دل میں ہوں وہی باتیں کہا کرو اس سے 
یہ اہل بزم تنک حوصلہ سہی پھر بھی ,ذرا فسانۂ دل ابتدا کرو اس سے ,یہ اہل بزم تنک حوصلہ سہی پھر بھی  ذرا فسانۂ دل ابتدا کرو اس سے 
یہ کیا کہ تم ہی غم ہجر کے فسانے کہو ,کبھی تو اس کے بہانے سنا کرو اس سے ,یہ کیا کہ تم ہی غم ہجر کے فسانے کہو  کبھی تو اس کے بہانے سنا کرو اس سے 
فرازؔ ترک تعلق تو خیر کیا ہوگا ,یہی بہت ہے کہ کم کم ملا کرو اس سے ,فرازؔ ترک تعلق تو خیر کیا ہوگا  یہی بہت ہے کہ کم کم ملا کرو اس سے 
خزاں میں چاک گریباں تھا میں بہار میں تو ,مگر یہ فصل ستم آشنا کسی کی نہیں ,خزاں میں چاک گریباں تھا میں بہار میں تو  مگر یہ فصل ستم آشنا کسی کی نہیں 
سب اپنے اپنے فسانے سناتے جاتے ہیں ,نگاہ یار مگر ہم نوا کسی کی نہیں ,سب اپنے اپنے فسانے سناتے جاتے ہیں  نگاہ یار مگر ہم نوا کسی کی نہیں 
میں آج زد پہ اگر ہوں تو خوش گمان نہ ہو ,چراغ سب کے بجھیں گے ہوا کسی کی نہیں ,میں آج زد پہ اگر ہوں تو خوش گمان نہ ہو  چراغ سب کے بجھیں گے ہوا کسی کی نہیں 
فرازؔ اپنی جگر کاویوں پہ ناز نہ کر ,کہ یہ متاع ہنر بھی سدا کسی کی نہیں ,فرازؔ اپنی جگر کاویوں پہ ناز نہ کر  کہ یہ متاع ہنر بھی سدا کسی کی نہیں 
اترا ہے رگ و پے میں تو دل کٹ سا گیا ہے ,یہ زہر جدائی کہ گوارا بھی کبھی تھا ,اترا ہے رگ و پے میں تو دل کٹ سا گیا ہے  یہ زہر جدائی کہ گوارا بھی کبھی تھا 
ہر دوست جہاں ابر گریزاں کی طرح ہے ,یہ شہر کبھی شہر ہمارا بھی کبھی تھا ,ہر دوست جہاں ابر گریزاں کی طرح ہے  یہ شہر کبھی شہر ہمارا بھی کبھی تھا 
تتلی کے تعاقب میں کوئی پھول سا بچہ ,ایسا ہی کوئی خواب ہمارا بھی کبھی تھا ,تتلی کے تعاقب میں کوئی پھول سا بچہ  ایسا ہی کوئی خواب ہمارا بھی کبھی تھا 
اب اگلے زمانے کے ملیں لوگ تو پوچھیں ,جو حال ہمارا ہے تمہارا بھی کبھی تھا ,اب اگلے زمانے کے ملیں لوگ تو پوچھیں  جو حال ہمارا ہے تمہارا بھی کبھی تھا 
ہر بزم میں ہم نے اسے افسردہ ہی دیکھا ,کہتے ہیں فرازؔ انجمن آرا بھی کبھی تھا ,ہر بزم میں ہم نے اسے افسردہ ہی دیکھا  کہتے ہیں فرازؔ انجمن آرا بھی کبھی تھا 
میری طرح تو نے شب ہجراں نہیں کاٹی ,میری طرح اس تیغ پہ کٹ کر نہیں دیکھا ,میری طرح تو نے شب ہجراں نہیں کاٹی  میری طرح اس تیغ پہ کٹ کر نہیں دیکھا 
